"","Z","PDF","CDF"
"1",-4.5,1.59837411069055e-05,3.39767312473006e-06
"2",-4.49,1.67186025523651e-05,3.56115867959756e-06
"3",-4.48,1.74855010266391e-05,3.73215196051447e-06
"4",-4.47,1.82857492095474e-05,3.9109798602807e-06
"5",-4.46,1.91207096928177e-05,4.09798264663636e-06
"6",-4.45,1.99917967069228e-05,4.29351446997187e-06
"7",-4.44,2.09004779004504e-05,4.49794388856791e-06
"8",-4.43,2.18482761733165e-05,4.71165441189724e-06
"9",-4.42,2.28367715651469e-05,4.93504506253327e-06
"10",-4.41,2.38676032001796e-05,5.16853095722413e-06
"11",-4.4,2.49424712900535e-05,5.41254390770385e-06
"12",-4.39,2.60631391958783e-05,5.66753304182674e-06
"13",-4.38,2.72314355509926e-05,5.93396544562466e-06
"14",-4.37,2.84492564458443e-05,6.2123268269015e-06
"15",-4.36,2.97185676764422e-05,6.50312220099279e-06
"16",-4.35,3.10414070578503e-05,6.80687659933406e-06
"17",-4.34,3.24198868042138e-05,7.12413580149534e-06
"18",-4.33,3.38561959768279e-05,7.45546709135513e-06
"19",-4.32,3.53526030017731e-05,7.80146003810134e-06
"20",-4.31,3.69114582586662e-05,8.16272730276308e-06
"21",-4.3,3.85351967420871e-05,8.53990547099181e-06
"22",-4.29,4.0226340797265e-05,8.933655912827e-06
"23",-4.28,4.19875029316173e-05,9.34466567019636e-06
"24",-4.27,4.38213887037581e-05,9.77364837291759e-06
"25",-4.26,4.57307996916013e-05,1.02213451839841e-05
"26",-4.25,4.7718636541205e-05,1.06885257749344e-05
"27",-4.24,4.97879020980121e-05,1.11759893321206e-05
"28",-4.23,5.19417046221598e-05,1.16845655947074e-05
"29",-4.22,5.41832610895401e-05,1.2215115925253e-05
"30",-4.21,5.65159005803074e-05,1.2768534413735e-05
"31",-4.2,5.89430677565399e-05,1.33457490159063e-05
"32",-4.19,6.14683264307692e-05,1.39477227268812e-05
"33",-4.18,6.40953632271061e-05,1.4575454790867e-05
"34",-4.17,6.68279913366906e-05,1.52299819479779e-05
"35",-4.16,6.96701543692143e-05,1.59123797190822e-05
"36",-4.15,7.26259303022523e-05,1.66237637296522e-05
